text,author
"— Вручите сии деньги вашему семейству, — сказал С. Муравьев, — они будут необходимы для него во время вашего отсутствия, между тем будьте уверены, что ни Россия, ни я никогда не забудем ваших услуг.",Unknown
"Они одни имели право сноситься с Верховною думою через С. Муравьева или Бестужева-Рюмина и представлять думе разные проекты и мнения членов, которые через них получали предписания думы относительно действий, восстания и проч.",Unknown
"Может быть Кузьмин прекратил бы страдания Гебеля, если бы не подбежал к нему Соловьев и не уговорил оставить изувеченного человека, представляя его совершенно им безвредным и едва дышущим.",Unknown
Борисов 2-й улыбнулся вместо ответа.,Unknown
"Сближение сие, конечно, изменило несколько характер Васильковской управы, но не могло вполне пробудить ее от бездействия.",Unknown
"Кроме того, генерал Рот приказал двинуться в Наволочи гусарским полкам, а именно: Принца Оранского, Александрийскому и Ахтырскому.",Unknown
"Будучи убежден, что для возмущения полка необходимо принять в Общество ротных командиров, способных действовать на солдат, и зная, что в Полтавском полку, кроме полкового командира Тизенгаузена, поручика Усовского и Бестужева-Рюмина, нет ни одного члена,— он решился тотчас после Лещинского лагеря увеличить число оных.",Unknown
"Священник, человек молодой и довольно просвещенный, постигнул возвышенные и благородные чувства С. Муравьева.",Unknown
Это был младший брат его — Ипполит.,Unknown
"Тут он должен был взять свежих лошадей, встретил новые затруднения, однако, после некоторой остановки, нашел извозчика и выехал на большую Васильковскую дорогу под самым Киевом.",Unknown
Обхождение Тизенгаузена с офицерами было в полном смысле предосудительно.,Unknown
Каждый думал видеть в его приезде неоспоримое доказательство всеобщего восстания и все заранее радовались счастливому окончанию предпринятого подвига.,Unknown
"В боковых комнатах был слышен шопот и тихий стук шатов; все двери, ведущие в комнаты из залы, в которой находился Андреевич, были заперты.",Unknown
Они догнали полк за полверсты от Малой Мытницы.,Unknown
"Мозалевский потребовал от жандарма его бумаги и объявил ему, что он арестован.",Unknown
"Мужеством и твердостью сих двух офицеров спасена жизнь Гебелю, его жене и детям и дом избавился от конечного разграбления.",Unknown
Михайло Васильев выдержал залп и остался невредим.,Unknown
"Павлов был спрятан в постели между перинами у жены городничего, где он пробыл до самого выступления С. Муравьева из Василькова, и тогда только оставил свою роскошную темницу и поспешил уведомить киевское начальство о возмущении в Черниговском полку.",Unknown
"Удрученные бедствиями, без цели в жизни, без надежды лучшего жребия, развращенные и ожесточенные долговременными страданиями, ссыльные принимали с радостью предложения Бочарова и Голикова.",Unknown
Таким образом кончилось пагубное для многих восстание Черниговского полка.,Unknown
"Среди сих надежд колонна, получив благословение священника, с криком: ура!",Unknown
"Ответ Муравьева был точно такой же, как и первый.",Unknown
"В дальней деревне, в стороне от большой дороги, нанял у крестьянина пару лошадей и поехал в Киев.",Unknown
"— Я убежден в невозможности, — отвечал Борисов 2-й.— Избрание происходило в присутствии избранного, почти все голоса были в его пользу; устранить его — значит нанести оскорбление не только ему, но всем избирателям; впрочем, если вы имеете на сие достаточную причину, объясните ее и при будущем совещании предложите новый выбор.",Unknown
"Подъехав на довольно близкое расстояние к казачьему отряду, он обнажил саблю и бросился на них, с громким криком: — Вперед!",Unknown
"Можно думать, что для возвращения оной не нужно было употребить больших усилий искусства, ибо гвоздь был забит довольно низко, и Сухинов, желая затянуть как можно крепче петлю, спустивши ноги с нар, еще коленами касался оных.",Unknown
"Сухинов, не слушая их, сказал ему в сильном гневе:  — Если он когда-нибудь вздумает располагать мною и моими товарищами, удалять нас от тех, с которыми мы быть хотим в связи, и сближать с теми, которых мы не хотим знать, то клянусь всем для меня священным, что я тебя изрублю в мелкие куски; знай навсегда, что мы найдем дорогу в Москву и Петербург; нам не нужны такие путеводители, как ты и... — тут он взглянул на С. Муравьева.",Unknown
Миролюбивый вид мятежников ободрил майора Трухина.,Unknown
"«Нам представляется случай ранее, нежели мы думали, умереть со славою за свободу отечества, — писал он к Горбачевскому,-- может быть в феврале или марте месяце, — голос родины соберет нас вокруг хоругви свободы».",Unknown
"В тот же день, когда они стояли под виселицею, они были отправлены чрез внутреннюю стражу в Киев.",Unknown
Слезы катились у доброго генерала.,Unknown
"— Некоторые главы,— продолжал он,— содержат прямые запрещения от бога избирать царей и повиноваться им.",Unknown
Но роковой час ударил для сих злодеев.,Unknown
"Славяне же, укрепленные новыми силами, начали еще с большим рвением действовать на своих подчиненных.",Unknown
"Чтобы исполнить сие предприятие, Сухинов вверился двум ссыльным, которые ему казались способными ко всему, и сделал их главными своими агентами.",Unknown
"Холодная и сырая погода, трудный путь, боль, производимая цепями, — расстроили его здоровье; раны, полученные им в Отечественную войну, открылись и он чувствовал лихорадку.",Unknown
"Едва Мозалевский успел войти в комнату, как С. Муравьев взял его за руку, повел в свой кабинет и запер за собою дверь.",Unknown
"ни Горбачевский, ни Спиридов не только не приняли предложения С. Муравьева, но даже впоследствии оставили его без всякого внимания и не сообщали его своим товарищам, ибо наперед знали, что (они) будут противного мнения.",Unknown
"Он верил всем, не воображая, что в этом случае люди, известные своею храбростью и честностью, сыграют роль трусов и обманщиков.",Unknown
"Веденяпин возразил, что он не знает никаких дел, и потому судить о них не может, но для побуждения к действию недостаточно одних чувств, к сему необходимо обдуманная и твердая решительность; что в борьбе против гигантской власти мало одной военной храбрости, потребно еще гражданское мужество; что надобно заранее приучить себя к сей мысли: я погибну, если начну действовать; пусть другие доканчивают.",Unknown
брался доставить арестованных из Белой Церкви в Киев.,Unknown
"К счастию, лошади сами собою набрели на крестьянскую избу, где жили майданщики (делающие селитру).",Unknown
Андрей Борисов отказался от предложения и просил только доставить ему случай выехать из города.,Unknown
"Не догнав его, С. Муравьев поручил Сухинову непременно остановить Гебеля, вывезти его за деревню и бросить в снег.",Unknown
"Незадолго до экзекуции между солдатами пронесся слух, что Грохольский и Ракуза лишены офицерского звания за восстание Черниговского полка и, не взирая на сие, приговорены судом к телесному наказанию.",Unknown
"В таком положении дел им невозможно было соблюдать правил, принятых на лещинских совещаниях.",Unknown
Обхождение полицейского чиновника было грубо и даже жестоко.,Unknown
"Городские жители, теснившиеся вокруг, провожали воинов, желая им уснеха.",Unknown
Сие собрание было многочисленное.,Unknown
"По прошествии двух дней их отправили в Горную контору, находящуюся от большого завода в 15 верстах и от границы в 9 верстах и по прибытии в оную они были на другой день посланы в глубокие рудники на работу.",Unknown
"Вскоре после сего пришел к нему крестьянин и простым малороссийским наречием сказал:  — Идыте, пане, до хаты; не чутко никого; москали побигле дал.",Unknown
"В несчастию, Быстрицкий снова заболел горячкою.",Unknown
о замышляемом перевороте?,Unknown
"Юнкер взял письмо и, ни слова не говоря, вышел вон.",Unknown
"В 8 часов вечера пришел в Васильков 5-й мушкетерской роты фельдфебель Шутов с рядовыми, оставленными поручиком Кузьминым.",Unknown
"Видя ярость и бешенство С. Муравьева, Сухинов притворился согласным исполнить его приказание и побежал вслед за санями, но возвратившись, объявил Муравьеву, что солдат отдал уже Гебеля управителю, и что сей последний собрал к себе множество вооруженных крестьян.",Unknown
— был единодушный ответ.,Unknown
По вторичном прочтении читанной уже сентенции палач каждого из них обводил кругом виселицы и оставил всех трех некоторое время под оною.,Unknown
"— Он уже уехал обратно, — отвечал Тютчев.",Unknown
"Во 2-й легкой роте не существует сих затруднений, к восстанию она совершенно готова и требует только прикрытия на походе.",Unknown
Но он обманулся: его настойчивость и хладнокровие привели Кузьмина в бешенство.,Unknown
"Тотчас после обеда С. Муравьев, вместе с офицерами, пересматривал бумаги, взятые у него Гебелем в Василькове и опять отнятые в Трилесах.",Unknown
"— Это правда, — сказал Борисов 2-й с притворным хладнокровием и с улыбкою сомнения, — но Юлий Цезарь был убит среди Рима, пораженного его величием и славою, а над убийцами, над пламенными патриотами восторжествовал малодушный Октавий, юноша 18-ти лет.",Unknown
"Муравьев принял Борисова и Горбачевского с особенным радушием, осыпал их ласками и лестными отзывами, которым едва могла противоустоять врожденная недоверчивость Борисова.",Unknown
"Аполлон Веденяпин сии самые слова повторил С. Муравьеву и Бестужеву, прибавляя, что для успеха в предпринимаемом перевороте необходимо, чтобы все члены без изъятия отдавали отчеты в своих действиях.",Unknown
"Надеясь обезоружить их одними словами, в сопровождении нескольких солдат и барабанщика, он подошел к авангарду и начал еще издалека приводить его в повиновение угрозами и обещаниями, но, когда он подошел поближе, его схватили Бестужев и Сухинов, которые, смеясь над его витийством, толкнули его в средину колонны.",Unknown
"Легко представить себе положение черниговских офицеров без всякого пособия, без родных, без знакомых, — оставленных и забытых всеми.",Unknown
"Неисповедимое провидение посылало им по временам ангелов-хранителей, как бы для поддержания в сем суровом испытании.",Unknown
Сие известие поразило всех славян.,Unknown
"Тут же было приложено мнение Петра Борисова относительно приготовления артиллерии и переделки снарядов: он предлагал управляющим Обществами найти способы внушить начальству чрез кого-нибудь из близких к оному мысль об отдании приказа по корпусу на счет осмотра и переделки всех вообще зарядов и полагал необходимым привести сию меру в действие, по крайней мере, в тех ротах артиллерии, где находятся члены Общества.",Unknown
"Напрасно он делал усилия казаться спокойным: не будучи в состоянии выдержать сильных потрясений души, производимых сим отвратительным зрелищем, он лишился чувств и пал замертво.",Unknown
"— Тем более, подчинив себя безусловно Верховной думе Южного общества, — продолжал он,— будем ли мы в состоянии исполнить в точности принятые нами обязательства?",Unknown
"Взяв в сторону фельдфебеля, всем полком любимого и уважаемого унтер-офицера Аврамова, спросил его, как он думает: можно ли решиться на сие дело?",Unknown
За три месяца до восстания Черниговского полка Тизенгаузен со своим полком занял крепость Бобруйск для содержания в оной караула.,Unknown
Испуганные нечаянным и смелым нападением казаки рассеялись.,Unknown
"С. Муравьев отвечал ему, что вероятно Верховная дума, управляющая Южным обществом, приняла меры, и что не должно сомневаться в чувствах тех, которые уже своими делами доказали возвышенность и благородство своей души.",Unknown
"Мозалевский и Соловьев оставались в Горной конторе, но во время производства дела их требовали пред военный суд для снятия допросов.",Unknown
"Пришедши туда, он застал у Малявина многих офицеров, из коих некоторые были члены Южного общества, принятые Бестужевым-Рюминым.",Unknown
"На другой день, 4 января 1826 года, в 9 часов утра, всех пленных офицеров и рядовых отправили в город Белую Церковь.",Unknown
"— Мы погибли, нас ожидает страшная участь; не лучше ли нам умереть?",Unknown
"Конечно, никто из благоразумных людей не верил и не поверит сей клевете, но, может быть, нашлись люди, которые почитали возможным столь бесчестное действие.",Unknown
"Потом, отдавая записку Энгельгардту, сказал:  — Потрудитесь послать с сим письмом нарочного к полковнику, а между тем прикажите дать мне чаю; дорога чрезвычайно дурная, я жестоко прозяб; к тому же чай сократит время ожидания, которое мне кажется весьма долгим.",Unknown
"Сей поступок полкового командира убеждал солдат в его злобе и недоброжелательстве: они думали, что он мог бы избавить их товарищей от жестокого наказания, зная, что при восшествии на престол нового государя самые ужасные злодеи получают смягчение наказания.",Unknown
"Мщение и негодование возродилось в сердцах солдат; они радовались случаю отомстить своими руками за притеснения и несправедливости, испытанные более или менее каждым из них от дворян.",Unknown
"Офицеры старались их успокоить, уверяя, что сии новости не что иное, как выдумка какого-нибудь труса или лгуна.",Unknown
"Ласковое и благородное обращение Муравьева не осталось без действия.. Успокоенные жители доставили вое припасы, удовольствованные солдаты были помещены на тесных квартирах, город окружен военною цепью, а Богуславская и Киевская заставы были заняты сильным караулом.",Unknown
"Сие торжество человеколюбия пред военною дисциплиною сильно подействовало на солдат; казалось, они ожидали только слова, чтобы следовать примеру своих офицеров.",Unknown
"20 декабря Борисов 2-й был у Горбачевского, и когда они рассуждали о своих действиях на солдат, один фейерверкер принес Горбачевскому письмо от Андреевича, в котором он иносказательно изъяснял, сколько Бестужев радуется успехам славян в их действиях и... о близком начале желаемого переворота.",Unknown
"По прошествии сего времени была прочтена военносудною комиссиею сентенция, коей были приговорены к смерти; но конфирмациею главнокомандующего сие наказание смягчено и переменено в вечно-крепостную работу.",Unknown
Но сим не кончились их страдания.,Unknown
"Нечаянный сей поход чрезвычайно был изнурительный для гусар, и они уверяли простодушно, что при малейшем сопротивлении Муравьева, при первом ружейном залле обратились бы назад и не стали бы действовать против него.",Unknown
"По мнению Борисова 2-го, славяне, обязавшись клятвою посвятить всю свою жизнь освобождению славянских племен, искоренению существующей между некоторыми из них вражды и водворению свободы, равенства и братской любви, не в праве нарушить сих обязательств.",Unknown
"Положение Сухинова было ужасно: вообразите человека в глубоком, холодном погребе, терзаемого горестными мыслями о несчастии своих товарищей и лишенного всех надежд и ожиданий.",Unknown
"Щепилло и Соловьев, оставив С. Муравьева в деревне Ковалевке, где квартировала 2-я гренадерская рота нод командою поручика Петина, поехали к своим ротам через Васильков.",Unknown
